MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nIt makes me so happy to befriend another\nDivine Dragon. We have so much to talk about!\x0E\x04\x00\x00
MID_GR_Citrinica_A_#004	\x0E\x03\x02\x06\x04チキ\nHm-hm! I can't wait to try them. What\nshould we try first? It's so hard to decide!\x0E\x04\x00\x00
MID_GR_Ivy_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08アイビー\nIt's an honor to have the aid of a Divine Dragon\nfrom another world. I am truly grateful.\x0E\x04\x00\x00
MID_GR_Ivy_C_#002	\x0E\x03\x02\x06\x04チキ\nI hope everyone else thinks so. I'm going to\ntry extra hard to make them all happy!\x0E\x04\x00\x00
MID_GR_Ivy_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08アイビー\nYou seem not to mind that my nation worships\nthe Fell Dragon. Are all Divine Dragons so kind?\x0E\x04\x00\x00
MID_GR_Ivy_B_#002	\x0E\x03\x02\x06\x04チキ\nI don't know about anyone else. All I know is\nI like you very much!\x0E\x04\x00\x00
MID_GR_Ivy_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08アイビー\nMay I confide something to you? I cannot say so\npublicly, but I am devoted to the Divine Dragon.\x0E\x04\x00\x00
MID_GR_Ivy_A_#002	\x0E\x03\x02\x06\x04チキ\nSo you have to hide it from your people? That\nmust be really hard. You're very strong.\x0E\x04\x00\x00
MID_GR_Ivy_A_#003	\x0E\x03\x02\x0A\x08アイビー\nThat is kind of you to say. Thank you, Tiki.\nI hope you will continue to remain with us.\x0E\x04\x00\x00
MID_GR_Ivy_A_#004	\x0E\x03\x02\x06\x04チキ\nDon't ever worry about that. I'll always be with\nyou, because we're friends!\x0E\x04\x00\x00
MID_GR_Zelkova_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nYou seem to be a *precocious* young Emblem.\nI look forward to working with you.\x0E\x04\x00\x00
MID_GR_Zelkova_C_#002	\x0E\x03\x02\x06\x04チキ\nYoung? I'm over a thousand years old,\nyou know!\x0E\x04\x00\x00
MID_GR_Zelkova_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nBehold this soothing *emerald* candle.\nI crafted it with you in mind.\x0E\x04\x00\x00
MID_GR_Zelkova_B_#002	\x0E\x03\x02\x06\x04チキ\nOoo, it's so pretty! Can we light it right now?\x0E\x04\x00\x00
MID_GR_Zelkova_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nOld *nightmares* preclude me from proper\nsleep. I only dare to nap.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#002	\x0E\x03\x02\x06\x04チキ\nI used to have lots of nightmares too. I was\nscared to go to sleep alone.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nNot even the *innocent* are immune to such\ntrauma, it would seem. I am sorry to hear that.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#004	\x0E\x03\x02\x06\x04チキ\nDon't be. I'm much better now. With so many\nfriends around, I never worry about bad dreams!\x0E\x04\x00\x00
MID_GR_Kagetsu_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06カゲツ\nYou are always in good cheer, Tiki. Sometimes\nyour spirits are even higher than mine!\x0E\x04\x00\x00
MID_GR_Kagetsu_C_#002	\x0E\x03\x02\x06\x04チキ\nBeing with you and all our friends makes me\nhappy, Kagetsu! What do you want to do today?\x0E\x04\x00\x00
MID_GR_Kagetsu_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06カゲツ\nSo your stone allows you to change into dragon\nform. Will you show me more of this ability?\x0E\x04\x00\x00
MID_GR_Kagetsu_B_#002	\x0E\x03\x02\x06\x04チキ\nI'd be happy to. My dragon form is pretty strong\nthough, so you'd better get ready!\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06カゲツ\nWill you tell me about your home? I am always\ncurious to hear about new places.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#002	\x0E\x03\x02\x06\x04チキ\nIt's very peaceful and filled with wonderful\npeople. Like Ban-Ban!\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#003	\x0E\x03\x02\x06\x04チキ\nMaybe one day I'll show you around. I'll turn\ninto a dragon, and you can ride on my back!\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#004	\x0E\x03\x02\x08\x06カゲツ\nExciting suggestion! I will look forward to it.\x0E\x04\x00\x00
MID_GR_Hortensia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nWhy do you get to be cute, sweet, and strong?\nThis shouldn't be allowed. You're too charming.\x0E\x04\x00\x00
MID_GR_Hortensia_C_#002	\x0E\x03\x02\x06\x04チキ\nThat's so nice of you to say! I know we'll be\ngreat friends, Hortensia.\x0E\x04\x00\x00
MID_GR_Hortensia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nSunny days like this are pretty rare in Elusia.\nIt's a nice change of pace, though.\x0E\x04\x00\x00
MID_GR_Hortensia_B_#002	\x0E\x03\x02\x06\x04チキ\nI like it too. Maybe we should take a nice\nafternoon nap!\x0E\x04\x00\x00
MID_GR_Hortensia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nDoes it bother you to hang out with a princess\nwhose kingdom is devoted to the Fell Dragon?\x0E\x04\x00\x00
MID_GR_Hortensia_A_#002	\x0E\x03\x02\x06\x04チキ\nWhy would that bother me? I don't even think\nabout it. All that matters is I like you very much!\x0E\x04\x00\x00
MID_GR_Hortensia_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nThat means a lot to me, Tiki. I like you too.\nYou're one of my closest friends.\x0E\x04\x00\x00
MID_GR_Hortensia_A_#004	\x0E\x03\x02\x06\x04チキ\nYou're one of my best friends too! And you\nalways will be!\x0E\x04\x00\x00
MID_GR_Rosado_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08ロサード\nIs everyone in your world as cute as you are,\nTiki? Even your dragon form's adorable!\x0E\x04\x00\x00
MID_GR_Rosado_C_#002	\x0E\x03\x02\x06\x04チキ\nHm-hm! Thanks, Rosado! You're sweet!\x0E\x04\x00\x00
MID_GR_Rosado_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nI love the ribbon your wyvern wears! I wish\nI had one just like it.\x0E\x04\x00\x00
MID_GR_Rosado_B_#002	\x0E\x03\x02\x0A\x08ロサード\nI've got plenty to spare. You may not be able to\nwear them, but I can put one on your bracelet!\x0E\x04\x00\x00
MID_GR_Rosado_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08ロサード\nI'm so tired of this war. It's a crime that cuties\nlike us have to keep fighting.\x0E\x04\x00\x00
MID_GR_Rosado_A_#002	\x0E\x03\x02\x06\x04チキ\nThat just means we have to hurry up and end it,\nso everyone can be happy!\x0E\x04\x00\x00
MID_GR_Rosado_A_#003	\x0E\x03\x02\x0A\x08ロサード\nYou're right. And once it's over, we can go\nshopping for cute ribbons anytime we want.\x0E\x04\x00\x00
MID_GR_Rosado_A_#004	\x0E\x03\x02\x06\x04チキ\nYou promise?! Oh, I'm so excited! I can't wait!\x0E\x04\x00\x00
MID_GR_Goldmary_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nIt's been nice getting to know you, Goldmary!\nI think we're going to be great friends.\x0E\x04\x00\x00
MID_GR_Goldmary_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nI'm relieved to hear you say that, Tiki. I was\nworried you'd be too jealous of my charisma.\x0E\x04\x00\x00
MID_GR_Goldmary_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nIf you like hot springs, you'd love the town\nin Elusia where I grew up.\x0E\x04\x00\x00
MID_GR_Goldmary_B_#002	\x0E\x03\x02\x06\x04チキ\nIt must be a lovely place! Will you take me\nthere someday?\x0E\x04\x00\x00
MID_GR_Goldmary_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nIf not for Princess Hortensia, I might have\nturned out...ordinary. Perish the thought.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#002	\x0E\x03\x02\x06\x04チキ\nSometimes you meet someone by chance and it\nchanges everything. For me, that was Mar-Mar.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#003	\x0E\x03\x02\x06\x04チキ\nBut it's the same for us, isn't it? We met by\nchance, and now we're really close friends!\x0E\x04\x00\x00
MID_GR_Goldmary_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIt's lovely to hear you say that. Thank you, Tiki.\x0E\x04\x00\x00
MID_GR_Misutira_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nミスティラ\nWhoa, so you're a Divine Dragon? We've just\ngotta be friends.\x0E\x04\x00\x00
MID_GR_Misutira_C_#002	\x0E\x03\x02\x06\x04チキ\nI look forward to it, Timerra!\x0E\x04\x00\x00
MID_GR_Misutira_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nミスティラ\nTiki, since we've been friends for a while,\nI decided to write you a song. Wanna hear it?\x0E\x04\x00\x00
MID_GR_Misutira_B_#002	\x0E\x03\x02\x06\x04チキ\nOh! Yes, please! I love your songs. You'll have\nto teach me the words so we can sing together.\x0E\x04\x00\x00
MID_GR_Misutira_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nミスティラ\nI think everyone, dragon or human, can benefit\nfrom talking to others and making friends.\x0E\x04\x00\x00
MID_GR_Misutira_A_#002	\x0E\x03\x02\x06\x04チキ\nI agree! It really changed my life when I started\nliving with people from the outside world.\x0E\x04\x00\x00
MID_GR_Misutira_A_#003	\x0E\x03\x02\x0C\nミスティラ\nThat's so great, Tiki. I'm really glad to have\nyou here with us.\x0E\x04\x00\x00
MID_GR_Misutira_A_#004	\x0E\x03\x02\x06\x04チキ\nMe too, Timerra... I'm especially happy I\nmet you! Let's stay friends forever, OK?\x0E\x04\x00\x00
MID_GR_Merin_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06メリン\nA Divine Dragon from another world... How\nfascinating. Would you tell me about yourself?\x0E\x04\x00\x00
MID_GR_Merin_C_#002	\x0E\x03\x02\x06\x04チキ\nHappy to! You know, you seem very cool, so\nI'd like to hear about you too!\x0E\x04\x00\x00
MID_GR_Merin_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06メリン\nI'm a fan of sweets and critters from around the\nworld. What are your interests, Lady Tiki?\x0E\x04\x00\x00
MID_GR_Merin_B_#002	\x0E\x03\x02\x06\x04チキ\nOoo, good question! Hm... I really like lively\nconversations and playing games.\x0E\x04\x00\x00
MID_GR_Merin_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06メリン\nIn my country, we express our joy with song.\nDo you like music, Lady Tiki?\x0E\x04\x00\x00
MID_GR_Merin_A_#002	\x0E\x03\x02\x06\x04チキ\nI sure do! Listening to it, singing it... I love it all!\x0E\x04\x00\x00
MID_GR_Merin_A_#003	\x0E\x03\x02\x08\x06メリン\nReally? In that case, I'd love to hear your\nsinging voice.\x0E\x04\x00\x00
MID_GR_Merin_A_#004	\x0E\x03\x02\x06\x04チキ\nSure thing! Here, I'll sing you a ditty from\nback in my world. *ahem*\x0E\x04\x00\x00
MID_GR_Panetone_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nI am Panette, one of Princess Timerra's\nretainers. How fare you today?\x0E\x04\x00\x00
MID_GR_Panetone_C_#002	\x0E\x03\x02\x06\x04チキ\nOoo, I love the way you talk! It's so fancy!\nWe're going to get along well, I know it.\x0E\x04\x00\x00
MID_GR_Panetone_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nWhy hello there, dearest Panette! Oops, hm-hm!\nI guess it's rubbing off on me.\x0E\x04\x00\x00
MID_GR_Panetone_B_#002	\x0E\x03\x02\x0A\x08パネトネ\nConsider yourself lucky. Such elegant speech\nsuits a lady of good upbringing!\x0E\x04\x00\x00
MID_GR_Panetone_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nI dare say that even setting aside your Divine\nDragon roots, we were destined to be friends.\x0E\x04\x00\x00
MID_GR_Panetone_A_#002	\x0E\x03\x02\x06\x04チキ\nAbsolutely! And the more friends the better,\nI say. I don't care if they're human or dragon.\x0E\x04\x00\x00
MID_GR_Panetone_A_#003	\x0E\x03\x02\x0A\x08パネトネ\nHow remarkably accepting of you, not to judge\nothers based on status or species.\x0E\x04\x00\x00
MID_GR_Panetone_A_#004	\x0E\x03\x02\x06\x04チキ\nSure. I wish everyone thought the same way.\nThen no one would be without friends!\x0E\x04\x00\x00
MID_GR_Fogato_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nフォガート\nTiki, you're a hoot and a half. We've gotta hang\nout more when we're not in battle.\x0E\x04\x00\x00
MID_GR_Fogato_C_#002	\x0E\x03\x02\x06\x04チキ\nI'd like that, Fogado. You seem like quite an\ninteresting person.\x0E\x04\x00\x00
MID_GR_Fogato_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nフォガート\nI like most sports, but I'll be the first to admit\nthat fishing is not my forte.\x0E\x04\x00\x00
MID_GR_Fogato_B_#002	\x0E\x03\x02\x06\x04チキ\nI'm not much good at it either. But that's mostly\nbecause I can't pick up the rod...\x0E\x04\x00\x00
MID_GR_Fogato_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nフォガート\nTiki, you're looking way less cheery than usual.\nWhat's going on?\x0E\x04\x00\x00
MID_GR_Fogato_A_#002	\x0E\x03\x02\x06\x04チキ\nI had a bad dream... I really thought those would\ngo away, since I'm not alone anymore.\x0E\x04\x00\x00
MID_GR_Fogato_A_#003	\x0E\x03\x02\x0C\nフォガート\nIf only we could choose our dreams. Hey, how\nabout we play to take your mind off it?\x0E\x04\x00\x00
MID_GR_Fogato_A_#004	\x0E\x03\x02\x06\x04チキ\nHm-hm! You always know how to brighten\nmy mood! What game should we play today?\x0E\x04\x00\x00
MID_GR_Pandoro_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAn Emblem and a Divine Dragon? Emblem Tiki,\nyou have my wholehearted devotion.\x0E\x04\x00\x00
MID_GR_Pandoro_C_#002	\x0E\x03\x02\x06\x04チキ\nOh dear! No need to be so formal, Pandreo.\nAnd just Tiki is fine.\x0E\x04\x00\x00
MID_GR_Pandoro_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nThat dance you do is so charming, Pandreo!\nI'd love to join in next time.\x0E\x04\x00\x00
MID_GR_Pandoro_B_#002	\x0E\x03\x02\x0A\x08パンドロ\nOh. You, uh, you saw that? That's a little\nembarrassing...but I'm glad you liked it.\x0E\x04\x00\x00
MID_GR_Pandoro_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nHey, Tiki! We're having a big bash later.\nYou wanna come?\x0E\x04\x00\x00
MID_GR_Pandoro_A_#002	\x0E\x03\x02\x06\x04チキ\nOoo, yes, please! I love festivities!\x0E\x04\x00\x00
MID_GR_Pandoro_A_#003	\x0E\x03\x02\x0A\x08パンドロ\nI knew you'd be on board! Here's to putting\nsmiles on faces! AROOO!\x0E\x04\x00\x00
MID_GR_Pandoro_A_#004	\x0E\x03\x02\x06\x04チキ\nYes! I love seeing people smile! And you'll have\nto teach me how to make that odd sound...\x0E\x04\x00\x00
MID_GR_Bonet_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04ボネ\nHm... Your smell is quite different from that of\nthe other Divine Dragon I know.\x0E\x04\x00\x00
MID_GR_Bonet_C_#002	\x0E\x03\x02\x06\x04チキ\nOh! I didn't even realize I had a smell!\x0E\x04\x00\x00
MID_GR_Bonet_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nDo you have a green thumb, Bunet? I saw you\nwatering some plants the other day.\x0E\x04\x00\x00
MID_GR_Bonet_B_#002	\x0E\x03\x02\x06\x04ボネ\nThat was my ingredient garden. In fact, there\nare some flowers there that smell just like you.\x0E\x04\x00\x00
MID_GR_Bonet_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04ボネ\nMy parents ran a bistro, until it was attacked\nand razed by bandits.\x0E\x04\x00\x00
MID_GR_Bonet_A_#002	\x0E\x03\x02\x06\x04ボネ\nForgive me, Tiki... I do not mean to burden you\nwith my feelings. You are just so easy to talk to.\x0E\x04\x00\x00
MID_GR_Bonet_A_#003	\x0E\x03\x02\x06\x04チキ\nThat's all right. I appreciate you sharing that\nwith me.\x0E\x04\x00\x00
MID_GR_Bonet_A_#004	\x0E\x03\x02\x06\x04チキ\nChin up, Bunet. I know you'll make your\nparents proud. I have faith in you!\x0E\x04\x00\x00
MID_GR_Anna_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nWhat?! It's Anna! But you're kind of small. Oh, I\nget it, you're not the same Anna that I know.\x0E\x04\x00\x00
MID_GR_Anna_C_#002	\x0E\x03\x02\x08\x06アンナ\n"Small?" How rude. I'm about as big as you. As\na friendly gesture, I'll let you call me Lady Anna.\x0E\x04\x00\x00
MID_GR_Anna_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06アンナ\nDo you want to help me look after the shop?\nIt's sure to be popular with both of us there.\x0E\x04\x00\x00
MID_GR_Anna_B_#002	\x0E\x03\x02\x06\x04チキ\nMe, tend the shop? That sounds fun! If I get to\ndo it with you, Lady Anna, then I want to try!\x0E\x04\x00\x00
MID_GR_Anna_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06アンナ\nCongratulations! We're having a festival today!\nThat's because it's a special holiday!\x0E\x04\x00\x00
MID_GR_Anna_A_#002	\x0E\x03\x02\x06\x04チキ\nWh-what's going on? What kind of holiday?\nI have to know!\x0E\x04\x00\x00
MID_GR_Anna_A_#003	\x0E\x03\x02\x08\x06アンナ\nI made it a holiday for you and me. To celebrate\nhow our bond has grown really, really strong.\x0E\x04\x00\x00
MID_GR_Anna_A_#004	\x0E\x03\x02\x06\x04チキ\nOur bond... That sounds great! I'll never forget\nthis holiday!\x0E\x04\x00\x00
MID_GR_Jean_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06ジャン\nWe look about the same age, but you've lived\na long time, right? That makes you my senior.\x0E\x04\x00\x00
MID_GR_Jean_C_#002	\x0E\x03\x02\x06\x04チキ\nI've lived a long time, but I haven't been awake\nthat long. Don't worry about it─let's be friends!\x0E\x04\x00\x00
MID_GR_Jean_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06ジャン\nI'm a bit shy, so I hope I can learn from you.\nYou make friends with everyone, don't you?\x0E\x04\x00\x00
MID_GR_Jean_B_#002	\x0E\x03\x02\x06\x04チキ\nThat's because I adore everyone. I love both\ntalking and listening to you all!\x0E\x04\x00\x00
MID_GR_Jean_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06ジャン\nEven if you haven't been awake long, you really\nare amazing. You're so strong even by yourself.\x0E\x04\x00\x00
MID_GR_Jean_A_#002	\x0E\x03\x02\x06\x04チキ\nBut you're working hard all by yourself too.\nI think that's really impressive!\x0E\x04\x00\x00
MID_GR_Jean_A_#003	\x0E\x03\x02\x08\x06ジャン\nThanks. There's a lot I have to learn...but I'll try.\nI'll stand on my own two feet yet, you'll see!\x0E\x04\x00\x00
MID_GR_Jean_A_#004	\x0E\x03\x02\x06\x04チキ\nYeah! You'll be an incredible doctor, Jean. And\nI'll help you see it through, so it'll be OK!\x0E\x04\x00\x00
MID_GR_Yunaka_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06ユナカ\nYou must be super tired of hearing what a cutie\nyou are all the time, Tiki.\x0E\x04\x00\x00
MID_GR_Yunaka_C_#002	\x0E\x03\x02\x06\x04チキ\nHehe! No, no. You can call me cute as much\nas you want!\x0E\x04\x00\x00
MID_GR_Yunaka_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nHey, Yunaka! What do you think of this? Zappy!\x0E\x04\x00\x00
MID_GR_Yunaka_B_#002	\x0E\x03\x02\x08\x06ユナカ\nWhoa! Be still my heart. That was incredible!\x0E\x04\x00\x00
MID_GR_Yunaka_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06ユナカ\nYou've got a way of brightening folks up.\nI always feel better whenever I see you.\x0E\x04\x00\x00
MID_GR_Yunaka_A_#002	\x0E\x03\x02\x06\x04チキ\nIt makes me happy to be around people. Being\nalone always makes me cry.\x0E\x04\x00\x00
MID_GR_Yunaka_A_#003	\x0E\x03\x02\x08\x06ユナカ\nYou too, huh? I relate to that.\x0E\x04\x00\x00
MID_GR_Yunaka_A_#004	\x0E\x03\x02\x06\x04チキ\nWell, now that we have each other, we never\nhave to worry about that again, do we?\x0E\x04\x00\x00
MID_GR_Seadas_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08セアダス\nEven the Divine Dragon of another world can\ndance... I must thank the stars for this fortune.\x0E\x04\x00\x00
MID_GR_Seadas_C_#002	\x0E\x03\x02\x06\x04チキ\nThank the stars? Oh, I love stars! The way they\nsparkle looks so happy. Don't you agree?\x0E\x04\x00\x00
MID_GR_Seadas_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nYou can do fortune-telling, right, Seadall? Could\nyou tell my fortune?\x0E\x04\x00\x00
MID_GR_Seadas_B_#002	\x0E\x03\x02\x0A\x08セアダス\nBut of course. L'étoile in the upright position.\nYour honest heart will lead to a bright future.\x0E\x04\x00\x00
MID_GR_Seadas_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nMy heart starts to race when I watch you dance.\nI get the urge to begin dancing too.\x0E\x04\x00\x00
MID_GR_Seadas_A_#002	\x0E\x03\x02\x0A\x08セアダス\nI'm happy if my performance moves you. My\nmaster taught me this dance. It's special to me.\x0E\x04\x00\x00
MID_GR_Seadas_A_#003	\x0E\x03\x02\x0A\x08セアダス\nI'd like to show off some special choreography\nto symbolize our ongoing friendship.\x0E\x04\x00\x00
MID_GR_Seadas_A_#004	\x0E\x03\x02\x06\x04チキ\nWow, really? A special dance! That makes me\nhappy! Let's dance together every day!\x0E\x04\x00\x00
