MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08リュール\nYou never fail to lift my spirits, Micaiah. I think\nit's that gentle smile you always wear.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nChildren always cry when they see me smile...\nHow can I get them to stop being scared of me?\x0E\x04\x00\x00
MID_GR_Citrinica_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nIt's normal for children to fear strangers.\nI'm sure they won't cry after they've met you!\x0E\x04\x00\x00
MID_GR_Citrinica_A_#003	\x0E\x03\x02\x0C\nシトリニカ\nOh! I see! So...you don't find my smile even the\nleast bit frightening, Micaiah?\x0E\x04\x00\x00
MID_GR_Citrinica_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nNot one bit. I see only kindness. If that kindness\ncan survive this war, it can survive anything.\x0E\x04\x00\x00
MID_GR_Ivy_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nI'm worried you might be pushing yourself\ntoo hard, Ivy.\x0E\x04\x00\x00
MID_GR_Ivy_C_#002	\x0E\x03\x02\x0A\x08アイビー\nI swore to aid the Divine Dragon, Micaiah.\nThat is what I'm going to do.\x0E\x04\x00\x00
MID_GR_Ivy_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nWhy don't we take a relaxing stroll through\nthe forest, Ivy?\x0E\x04\x00\x00
MID_GR_Ivy_B_#002	\x0E\x03\x02\x0A\x08アイビー\nCan you sense when I'm feeling troubled?\nYou always seem to know what I need.\x0E\x04\x00\x00
MID_GR_Ivy_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nIt hurts to fight against your own ideals.\nI know that pain all too well.\x0E\x04\x00\x00
MID_GR_Ivy_A_#002	\x0E\x03\x02\x0A\x08アイビー\nYou managed to overcome that struggle,\ndid you not?\x0E\x04\x00\x00
MID_GR_Ivy_A_#003	\x0E\x03\x02\x0A\x08アイビー\nI hope someday to follow your example.\x0E\x04\x00\x00
MID_GR_Ivy_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nNo fortune-telling skills needed to predict that.\nI've seen what you're made of. You'll get there.\x0E\x04\x00\x00
MID_GR_Zelkova_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nYou're very driven, Zelkov, but even the most\ndiligent workers need to rest now and again.\x0E\x04\x00\x00
MID_GR_Zelkova_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nI have no need for *rest.* Not when there is\nmore to be done.\x0E\x04\x00\x00
MID_GR_Zelkova_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nA sleeping draught would do much to quiet the\nworld's misery. I should *devise* one.\x0E\x04\x00\x00
MID_GR_Zelkova_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nHmhm! Try a nice herbal tea.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nMy yearning for *purpose* continues unabated.\nI need a reason to go on living.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nI wish my power could heal your pain.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nYour *sacrifice* can mend the body.\nMy struggle is in the mind.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nI know. I can only pray you'll be at peace\none day.\x0E\x04\x00\x00
MID_GR_Kagetsu_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06カゲツ\nMicaiah! Our bond of friendship is stronger than\nany other. Call on me for anything you need.\x0E\x04\x00\x00
MID_GR_Kagetsu_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nUm... Thank you? Though, I worry our bond is a\nlittle new for statements such as that one.\x0E\x04\x00\x00
MID_GR_Kagetsu_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06カゲツ\nI wish to be great friends with Princess Ivy, but\nit would seem she does not feel similarly.\x0E\x04\x00\x00
MID_GR_Kagetsu_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nThat may have been the case before,\nbut perhaps she's come around.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06カゲツ\nThe culture of my home is quite different from\nhere. Studying Elusia has taught me very much.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nWhat have you learned?\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#003	\x0E\x03\x02\x08\x06カゲツ\nMany new fighting styles. I was undefeated at\nhome, but here, Zelkov was able to best me.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nHmhm! Sounds like you've got yourself\na proper rival.\x0E\x04\x00\x00
MID_GR_Hortensia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nI'll do my best to help you all I can, Hortensia.\x0E\x04\x00\x00
MID_GR_Hortensia_C_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nHmph, I don't need you. But since you're cute,\nI'll give you a chance to prove yourself.\x0E\x04\x00\x00
MID_GR_Hortensia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nUgh, would you stop looking at me like that?\nIt's like you're seeing my soul. I kinda hate it.\x0E\x04\x00\x00
MID_GR_Hortensia_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nHmhm! I'm only making sure you're all right.\nI worry about you sometimes, that's all.\x0E\x04\x00\x00
MID_GR_Hortensia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nMy sister abandoned Elusia, even knowing I was\nstill there. She left me behind.\x0E\x04\x00\x00
MID_GR_Hortensia_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nYou and Ivy are family. She cares about you\nmore than anyone else in the world. Trust me.\x0E\x04\x00\x00
MID_GR_Hortensia_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nHow can you be so sure? Did you read her mind\nor something?\x0E\x04\x00\x00
MID_GR_Hortensia_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nNo, but I know how she feels. There's someone\nI care for in much the same way.\x0E\x04\x00\x00
MID_GR_Rosado_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nYour wyvern friend is wonderful, Rosado!\nWhat do you call her?\x0E\x04\x00\x00
MID_GR_Rosado_C_#002	\x0E\x03\x02\x0A\x08ロサード\nHer name is Camille and we are inseparable.\nIsn't she a beauty?\x0E\x04\x00\x00
MID_GR_Rosado_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nThat's a heavy-looking parcel. What's inside?\x0E\x04\x00\x00
MID_GR_Rosado_B_#002	\x0E\x03\x02\x0A\x08ロサード\nSome cute little stones I picked up around the\nSomniel. Planning to arrange them for a picture.\x0E\x04\x00\x00
MID_GR_Rosado_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08ロサード\nYou have such beautiful silver hair, Micaiah.\nIt gives you a soothing, sophisticated look.\x0E\x04\x00\x00
MID_GR_Rosado_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nOh, thank you. I haven't always cared for it,\nmyself. It made me stand out a bit too much.\x0E\x04\x00\x00
MID_GR_Rosado_A_#003	\x0E\x03\x02\x0A\x08ロサード\nNo such thing! I loved it the moment I laid eyes\non it, and that should be all you need to know.\x0E\x04\x00\x00
MID_GR_Rosado_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nThat's high praise, coming from someone with\nhair as radiant as yours.\x0E\x04\x00\x00
MID_GR_Goldmary_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nI hope my staggering charisma isn't going to\nbe a problem for you, Micaiah.\x0E\x04\x00\x00
MID_GR_Goldmary_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nI'll do my best to keep it from interfering\nwith our friendship.\x0E\x04\x00\x00
MID_GR_Goldmary_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nYou seem pensive, Goldmary. What's on\nyour mind?\x0E\x04\x00\x00
MID_GR_Goldmary_B_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nI'm usually the charming one in any pair, but in\nour case, I-I think it might actually be you.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nIt's a shame my home village is so far away.\nI would love to show you the hot springs.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nThat sounds like fun. A bath might be wasted\non me, though, since I have no physical form.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTrue. Maybe it's for the best, then. The envy\nwould be too much for you, I'm sure.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nHmhm! You seem to hear only what you want\nto hear.\x0E\x04\x00\x00
MID_GR_Misutira_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nミスティラ\nSo, Micaiah, tell me─what do you love doing?\nMe, I love traveling, singing, and just having fun.\x0E\x04\x00\x00
MID_GR_Misutira_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nI enjoy reading books and listening to the wind...\nMostly, I love the peace and quiet.\x0E\x04\x00\x00
MID_GR_Misutira_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nミスティラ\nSo, you can see through lies and see the future,\nam I right? I so wish I could do that!\x0E\x04\x00\x00
MID_GR_Misutira_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nIt does have its benefits, but I promise, I would\nnever use my powers to cheat at a game.\x0E\x04\x00\x00
MID_GR_Misutira_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nミスティラ\nYa know, Micaiah, you have an amazing voice.\nIt's really pretty, but it's also really strong.\x0E\x04\x00\x00
MID_GR_Misutira_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nDo you think so? I have never thought much\nof my voice. \x0E\x04\x00\x00
MID_GR_Misutira_A_#003	\x0E\x03\x02\x0C\nミスティラ\nI bet you're a great singer. We should sing a\nduet sometime. I'll provide the instrumentals!\x0E\x04\x00\x00
MID_GR_Misutira_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nOh my, that is a lot of pressure. But...I will do it.\nWe can sing of our beautiful friendship.\x0E\x04\x00\x00
MID_GR_Merin_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nI am grateful for this chance to join forces with\nyou, Merrin. United, we are a formidable force.\x0E\x04\x00\x00
MID_GR_Merin_C_#002	\x0E\x03\x02\x08\x06メリン\nThat we are. And I am grateful to fight beside\nan Emblem as powerful and as lovely as you.\x0E\x04\x00\x00
MID_GR_Merin_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06メリン\nMicaiah, I must admit I feel an urge to protect\nyou. But I wonder if you really need protecting?\x0E\x04\x00\x00
MID_GR_Merin_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nYou are kind, but do not let my looks deceive\nyou. Once upon a time, I was a commander.\x0E\x04\x00\x00
MID_GR_Merin_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06メリン\nIs it true there are birds and dragons that can\nturn human in your world?\x0E\x04\x00\x00
MID_GR_Merin_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nYes, that is true. But I think you misunderstand,\nMerrin.\x0E\x04\x00\x00
MID_GR_Merin_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nThey are humans that can turn into birds and\ndragons, not the other way around.\x0E\x04\x00\x00
MID_GR_Merin_A_#004	\x0E\x03\x02\x08\x06メリン\nWhat?! You mean, like the Divine Dragon?!\nNow I'm absolutely dying to meet one!\x0E\x04\x00\x00
MID_GR_Panetone_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nThat last battle was quite impressive.\nYou were very brave, Panette.\x0E\x04\x00\x00
MID_GR_Panetone_C_#002	\x0E\x03\x02\x0A\x08パネトネ\nI am the axe of the princess. I shall strike down\nany obstacle that dare try to impede her!\x0E\x04\x00\x00
MID_GR_Panetone_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nI hear you are quite fond of the forest, Micaiah.\nWe two should take a stroll in the woods.\x0E\x04\x00\x00
MID_GR_Panetone_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nHm, I would like that. I've been curious to see\nwhat you catch with that big net of yours.\x0E\x04\x00\x00
MID_GR_Panetone_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nYou want your fortune read? Hm, is this about\nthe ghost seen wandering the Solm desert?\x0E\x04\x00\x00
MID_GR_Panetone_A_#002	\x0E\x03\x02\x0A\x08パネトネ\nIndeed! Pray tell, does the ghost of the desert\nbandit who died with his riches truly exist?!\x0E\x04\x00\x00
MID_GR_Panetone_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nYou seem awfully excited about this, Panette.\nAren't you afraid of ghosts?\x0E\x04\x00\x00
MID_GR_Panetone_A_#004	\x0E\x03\x02\x0A\x08パネトネ\nAfraid of ghosts? Not in the slightest! Besides,\nI've nothing to fear with you by my side.\x0E\x04\x00\x00
MID_GR_Fogato_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nフォガート\nHey, Micaiah! I think it's time we throw a party\nto celebrate all our new friends. You in?\x0E\x04\x00\x00
MID_GR_Fogato_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nHmhm! That certainly sounds like fun. I would\nbe happy to join.\x0E\x04\x00\x00
MID_GR_Fogato_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nフォガート\nHey, Micaiah. Got any plans for tomorrow?\x0E\x04\x00\x00
MID_GR_Fogato_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nYou're having another party, aren't you? But\nyou had one yesterday and the day before that.\x0E\x04\x00\x00
MID_GR_Fogato_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nYou are looking rather pleased with yourself,\nFogado. Why is that?\x0E\x04\x00\x00
MID_GR_Fogato_A_#002	\x0E\x03\x02\x0C\nフォガート\nI just got my hands on this super-rare musical\ninstrument. I can't wait to give it to my sis.\x0E\x04\x00\x00
MID_GR_Fogato_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nOh, I'm sure she'll be delighted. You really do\ncare for her, don't you?\x0E\x04\x00\x00
MID_GR_Fogato_A_#004	\x0E\x03\x02\x0C\nフォガート\nYou know how it is. You've got to show the love\nto the people you love.\x0E\x04\x00\x00
MID_GR_Pandoro_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nLet me know if anything is weighing you down,\nOK? I bet you've got your share of worries.\x0E\x04\x00\x00
MID_GR_Pandoro_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nThat's very kind, Pandreo, but everyone here\nis so thoughtful I find I'm completely at ease.\x0E\x04\x00\x00
MID_GR_Pandoro_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nI wondered whose pretty singing voice that was.\nHmhm! You've drawn an audience, I see.\x0E\x04\x00\x00
MID_GR_Pandoro_B_#002	\x0E\x03\x02\x0A\x08パンドロ\nLady Micaiah?! Y-you're too kind. It's weird, but\nthese little birds surround me every time I sing.\x0E\x04\x00\x00
MID_GR_Pandoro_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nLady Micaiah? You have need of me?\x0E\x04\x00\x00
MID_GR_Pandoro_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nOh, I'm so sorry I interrupted you while you\nwere praying. I just came by to say hello.\x0E\x04\x00\x00
MID_GR_Pandoro_A_#003	\x0E\x03\x02\x0A\x08パンドロ\nIt's all right. All those lives we took...I'm praying\nthey rest in peace. Would you like to join me?\x0E\x04\x00\x00
MID_GR_Pandoro_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nYes, I'd like that. They may not forgive us,\nbut still, I will pray for the souls lost in battle.\x0E\x04\x00\x00
MID_GR_Bonet_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nAre you heading to the garden, Bunet?\nIf so, might I accompany you?\x0E\x04\x00\x00
MID_GR_Bonet_C_#002	\x0E\x03\x02\x06\x04ボネ\nYou love flowers, don't you? Please, join me.\nLet's enjoy all the garden has to offer.\x0E\x04\x00\x00
MID_GR_Bonet_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nWhat do you have there, Bunet? Something\nspecial for a dish you're preparing?\x0E\x04\x00\x00
MID_GR_Bonet_B_#002	\x0E\x03\x02\x06\x04ボネ\nThese are edible flowers. They're difficult to\ngrow but taste heavenly in tea and salads.\x0E\x04\x00\x00
MID_GR_Bonet_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x06\x04ボネ\nTo be a great chef, one must have a profound\nunderstanding of flavors─of ALL flavors.\x0E\x04\x00\x00
MID_GR_Bonet_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nHmhm! You sound like someone who has a true\npassion for his profession.\x0E\x04\x00\x00
MID_GR_Bonet_A_#003	\x0E\x03\x02\x06\x04ボネ\nThat I do. Which is why I'd love to know what\nflavor that fabulous silver hair of yours is.\x0E\x04\x00\x00
MID_GR_Bonet_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nI suppose...none? It has no physical form, you\nsee. But I'll take your curiosity as a compliment.\x0E\x04\x00\x00
MID_GR_Anna_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06アンナ\nMicaiah! You won't believe what I just got in\nstock! Come take a peek─you won't regret it!\x0E\x04\x00\x00
MID_GR_Anna_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nHmhm! All right, all right. You're a merchant\nthrough and through, aren't you?\x0E\x04\x00\x00
MID_GR_Anna_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nIt's really impressive that you run a business\nall by yourself, Anna. And at your age too.\x0E\x04\x00\x00
MID_GR_Anna_B_#002	\x0E\x03\x02\x08\x06アンナ\nDon't bring age into this! I was born to sell,\nand I've been selling since I was born!\x0E\x04\x00\x00
MID_GR_Anna_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nYour grumbling has been noticeable for a while\nnow, Anna. Is there something wrong?\x0E\x04\x00\x00
MID_GR_Anna_A_#002	\x0E\x03\x02\x08\x06アンナ\nYeah. Sales have been in a slump. I've gotta\nturn things around, and fast.\x0E\x04\x00\x00
MID_GR_Anna_A_#003	\x0E\x03\x02\x08\x06アンナ\nI know! You predict what'll sell in the future and\nI'll make sure to stock it! I'm a genius!\x0E\x04\x00\x00
MID_GR_Anna_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nHmhm! We can certainly try that, but these\nthings don't always go the way you'd think.\x0E\x04\x00\x00
MID_GR_Jean_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ジャン\nYou can heal people without medicine or a staff,\nright? That's incredible.\x0E\x04\x00\x00
MID_GR_Jean_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nThank you, but it takes a lot out of me, so it's\nnot something I can do all the time.\x0E\x04\x00\x00
MID_GR_Jean_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nIt's really something to see a boy your age so\ntrained in medicine.\x0E\x04\x00\x00
MID_GR_Jean_B_#002	\x0E\x03\x02\x08\x06ジャン\nWell, I've still got a lot to learn. But it feels good\nto hear that you think I'm on the right track.\x0E\x04\x00\x00
MID_GR_Jean_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nJean? Are you crying?\x0E\x04\x00\x00
MID_GR_Jean_A_#002	\x0E\x03\x02\x08\x06ジャン\nSorry you had to see that... I lost a patient who\ngot hurt in battle. I wasn't good enough.\x0E\x04\x00\x00
MID_GR_Jean_A_#003	\x0E\x03\x02\x08\x06ジャン\nAnd on top of that, I can't seem to stop crying.\nWhy can't I just be grown-up already?\x0E\x04\x00\x00
MID_GR_Jean_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nGoing through this will make you stronger.\nYou're going to be an amazing doctor, Jean.\x0E\x04\x00\x00
MID_GR_Yunaka_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ユナカ\nNow that I've turned over a new leaf, I intend\nto devote myself entirely to you, Micaiah!\x0E\x04\x00\x00
MID_GR_Yunaka_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nNo need for any of that, Yunaka. I'm glad\nyou were the one to find me.\x0E\x04\x00\x00
MID_GR_Yunaka_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nYou keep peering at me from the shadows,\nYunaka. It's a little unnerving.\x0E\x04\x00\x00
MID_GR_Yunaka_B_#002	\x0E\x03\x02\x08\x06ユナカ\nSorry. I could say it's because you're pretty, but\nthe truth is...keeping lookout's just an old habit.\x0E\x04\x00\x00
MID_GR_Yunaka_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ユナカ\nYou keep giving me this goofy smile. Am I really\nthat funny?\x0E\x04\x00\x00
MID_GR_Yunaka_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nIt's not that. You remind me of someone.\nHe was very dear to me.\x0E\x04\x00\x00
MID_GR_Yunaka_A_#003	\x0E\x03\x02\x08\x06ユナカ\nWhat about me reminds you of him? Is he\ngreat at impressions or something?\x0E\x04\x00\x00
MID_GR_Yunaka_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nIt's your walk. You're so light on your feet that\nit's easy to lose track of your footsteps.\x0E\x04\x00\x00
MID_GR_Seadas_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nThere is so much grace in the way you dance,\nSeadall. I could never move like that.\x0E\x04\x00\x00
MID_GR_Seadas_C_#002	\x0E\x03\x02\x0A\x08セアダス\nPlease, allow me to teach you. One day, you\nmay want to dance with someone special.\x0E\x04\x00\x00
