MAID_LueurWearM	신룡의 아들 평상복
MAID_Exercisewear	단련복
MAID_H_Exercisewear	단련에 특화된 의상. 액세서리점에서 고안한 독자적인 분위기의 옷이다.\n신축성이 좋고 튼튼하며, 땀을 잘 흡수해 쾌적하게 단련에 집중할 수 있다.
MAID_NormalGlasses	보통 안경
MAID_H_NormalGlasses	심플한 안경. 예로부터 유리 세공 등의 공예 기술이 발달한 이르시온이\n발상지라고 일컬어지며, 렌즈 부분은 맑은 얼음과 같이 연마되어 있다.
MAID_LowerEdgeGlasses	사각 반무테 안경
MAID_H_LowerEdgeGlasses	위를 올려다볼 때 안경테가 방해되지 않도록 만들어진 안경. 눈 주변을\n많이 가리고 싶지 않을 때 좋다. 쓰고 있으면 어째선지 지적으로 보인다.
MAID_BigSunglasses	커다란 선글라스
MAID_H_BigSunglasses	햇빛을 차단할 수 있는 안경. 어두운 색 렌즈가 특징이다.\n눈 주변이 거의 보이지 않기 때문에 변장에 사용되기도 한다.
MAID_BlackTabbyGlasses	두꺼운 검은 뿔테 안경
MAID_H_BlackTabbyGlasses	테가 두꺼워 약간 무거운 안경. 장시간 착용하면 귀가 아프지만 안경을\n썼다는 인상을 확실하게 줄 수 있다. 이미지 변화가 목적인 사람에게 추천한다.
MAID_ColoredSunglasses	컬러 선글라스
MAID_H_ColoredSunglasses	갈색 그라데이션 렌즈에, 금색 테로 제작되어 매우 고급스러운 안경.\n눈살을 찌푸리게 하는 햇빛을 가리면서도 멋을 추구하려는 사람에게 추천한다.
MAID_SkullMask	스컬 마스크
MAID_H_SkullMask	해골 모양 마스크. 발상지는 솔룸으로, 다른 마스크들에 비해서는\n심플한 편이라고 한다. 솔룸에는 이 마스크를 쓰고 즐기는 축제도 있다.
MAID_FancyDressMask	가장 마스크
MAID_H_FancyDressMask	가장 파티에서 사용되는 마스크의 모방품. 발상지는 피레네로,\n신분이 다른 사람들끼리 평화적인 교류를 하기 위해 만들어졌다고 한다.
MAID_Eyepatch	안대
MAID_H_Eyepatch	한쪽 눈을 가리는 장신구. 착용하면 신비한 분위기가 감돈다. 발상지는\n브로디아로 눈의 상처를 숨기기 위해서 착용한 것이 시작이었다고 한다.
MAID_Mascot_SilkHat	신사 모자
MAID_H_Mascot_SilkHat	모두에게 상냥한 신사가 쓸 것 같은 격식 있는 모자.\n착용하기만 해도 침착하고, 올바른 자세를 갖춘 것처럼 보인다.
MAID_Mascot_Sunglasses	검은 안경
MAID_H_Mascot_Sunglasses	풀사이드에서 일광욕을 시원하게 즐기기 위한 바캉스 필수 아이템.\n수호신의 귀여움을 감춰 주고, 멋을 극대화한다.
MAID_Mascot_Flower	화관
MAID_H_Mascot_Flower	\x0E\x06\x05\x00\x0E\x0A\x04\x08\x02이\x02가 낮잠을 즐겨 자는 꽃밭의 꽃을 꺾어 만든 화관.\n모두의 피로를 달래주면서 마음이 편해지는 좋은 향기가 난다.
MAID_Mascot_Wig	커플 머리
MAID_H_Mascot_Wig	\x0E\x06\x03\x00의 머리 모양을 따라 한 모습.\n어울리는지는 둘째 치고 \x0E\x06\x05\x00\x0E\x0A\x04\x08\x02은\x02는 매우 기쁜 것 같다.
MAID_Mascot_Eyebrows	눈썹
MAID_H_Mascot_Eyebrows	매우 믿음직스러워 보이는 눈썹. 인상이 매우 강해진다.\n이것을 사용하면 표정만으로 \x0E\x06\x05\x00의 기분을 알 수 있을지도 모른다.
MAID_Mascot_Butterfly	나비
MAID_H_Mascot_Butterfly	\x0E\x06\x05\x00\x0E\x0A\x04\x08\x02이\x02가 따라다니던 나비가 어느새 꼬리에 앉아 버렸다.\n아무리 움직여도 떨어지지 않기 때문에 진짜 나비인지 수상할 정도.
MAID_Mascot_Ribbon	엉덩이 리본
MAID_H_Mascot_Ribbon	엉덩이에 묶은 귀여운 리본. 가벼운 소재로 만들어 아무런 부담이 없다.\n\x0E\x06\x05\x00도 가끔 잊어버렸는지, 리본을 보고 놀라는 모습이 목격된다.
MAID_Mascot_Bell	방울 리본
MAID_H_Mascot_Bell	방울이 달린 빨강과 하얀 리본. 축제 때처럼 신나는 분위기가 느껴지며\n움직일 때마다 딸랑딸랑 소리가 울려, 걷거나 달릴 때 더 신난다.
MAID_Mascot_Feather	푹신푹신 날개
MAID_H_Mascot_Feather	푹신푹신하고, 저 하늘 끝까지 날아갈 것 같은 날개.\n정말 날 수 있을 거라고 착각해서, 벼랑에서 뛰어내리려고 하니 조심해야 한다.
MAID_Mascot_BackAcce	수호의 정장
MAID_H_Mascot_BackAcce	신룡족의 정장과 같은 것으로 수호신 전용으로 크기를 조절했다.\n입고 있으면 어딘가 자랑스러워 보이기도 하고, 가끔은 그리워하는 것 같기도 하다.
MAID_Costume_Marth	영웅왕의 의상
MAID_H_Costume_Marth	고결한 영웅 중의 영웅이자 『시작의 문장사』 마르스의 복장을 모방한 의상.
MAID_Costume_Siglud	성기사의 의상
MAID_H_Costume_Siglud	성전사의 피를 이은 기사이자 『성전의 문장사』 시구르드의 복장을\n모방한 의상.
MAID_Costume_Celica	자애의 왕녀의 의상
MAID_H_Costume_Celica	풍요로운 나라의 왕녀이자 『울림의 문장사』 세리카의 복장을 모방한 의상.
MAID_Costume_Micaiah	새벽의 무녀의 의상
MAID_H_Costume_Micaiah	신비한 힘을 지닌 무녀이자 『새벽의 문장사』 미카야의 복장을 모방한 의상.
MAID_Costume_Roy	젊은 사자의 의상
MAID_H_Costume_Roy	용감하고 지혜로운 공자이자 『봉인의 문장사』 로이의 복장을 모방한 의상.
MAID_Costume_Lin	초원의 공녀의 의상
MAID_H_Costume_Lin	유목민 출신의 뛰어난 검사이자 『열화의 문장사』 린의 복장을 모방한 의상.
MAID_Costume_Ike	창염의 용사의 의상
MAID_H_Costume_Ike	전투 기술이 뛰어난 용병단장이자 『창염의 문장사』 아이크의 복장을\n모방한 의상.
MAID_Costume_Lucina	성왕녀의 의상
MAID_H_Costume_Lucina	절망에 굴하지 않는 성스러운 왕녀이자 『각성의 문장사』 루키나의 복장을\n모방한 의상.
MAID_Costume_Leaf	현왕의 의상
MAID_H_Costume_Leaf	두 성전사의 피를 이은 왕자이자 『계보의 문장사』 리프의 복장을 모방한 의상.
MAID_Costume_Kamui	미래를 선택하는 자의 의상
MAID_H_Costume_Kamui	선조룡의 피를 이은 굳센 마음의 왕족이자 『선택의 문장사』 카무이의 복장을\n모방한 의상.
MAID_Costume_Eirik	푸른 풍공의 의상
MAID_H_Costume_Eirik	평화를 위해 싸우는 왕녀이자 『성마의 문장사』 에이리카의 복장을 모방한 의상.
MAID_Costume_Byleth	인도자의 의상
MAID_H_Costume_Byleth	용병 출신의 사관학교의 교사이자 『풍화의 문장사』 벨레트의 복장을\n모방한 의상.
