MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nEine Macht wie die Eure habe ich noch nie\ngesehen. Diese Fertigkeit, Embleme zu mani-\nfestieren... Ich will sie.\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nGibt es einen Grund, warum Ihr Euch in den\nSchatten versteckt? Wenn Ihr etwas von mir\nwollt... kommt her.\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x0C\nスタルーク\nVerzeiht! Ich wollte Euch Hallo sagen, aber was,\nwenn Ihr jemanden wie mich nicht in Eurer\nNähe haben wollt?\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nEuer Umgang mit dem Bogen ist erstklassig.\nIhr seid sehr talentiert, auch wenn Ihr darauf\nbesteht, dies nicht zu sein.\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x0C\nスタルーク\nA-an mir gibt es nichts Lobenswertes!\nIch gebe einfach alles, um Euch zu beschützen!\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nスタルーク\nIhr seid in jeder erdenklichen Hinsicht eine\ngroßartige Monarchin. Im Vergleich zu Euch\nbin ich nur...\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIhr sorgt Euch um Euer Volk. Das ist, was am\nmeisten zählt.\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nIch bin noch keine gute Monarchin. Aber Ihr\nscheint zu wissen, wie ich zu einer werden\nkann. Erklärt es mir...\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x0C\nスタルーク\nI-ich weiß nicht, was ich Euch beibringen\nkönnte. Aber... ich würde mich freuen, mich\nmit Euch zu unterhalten, wann immer Ihr mögt.\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06ラピス\nEine kaiserliche Prinzessin wie Ihr wird eine\ndurchschnittliche Person wie mich bestimmt\nnicht beeindruckend finden.\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIm Gegenteil! Ich möchte mehr über dich\nerfahren. Erzähl mir alles von dir.\x0E\x04\x00\x00
MID_GR_Lapis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06ラピス\nSüßkartoffeln sind das Beste, nicht wahr? Sie\nkönnen überall wachsen... Zumindest habe ich\ndas in einem Buch gelesen!\x0E\x04\x00\x00
MID_GR_Lapis_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nDu weißt eine Menge interessanter Dinge. So\nvieles, was ich nicht weiß. Ich möchte mehr\ndarüber hören.\x0E\x04\x00\x00
MID_GR_Lapis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nLapis, ich habe gehört, dass du jüngere\nGeschwister hast. Versteht... ihr euch alle gut?\x0E\x04\x00\x00
MID_GR_Lapis_A_#002	\x0E\x03\x02\x08\x06ラピス\nOh ja! Wir haben oft in den Feldern gespielt.\nWir haben Gras gegessen... Äh, Gras gepflückt.\nIhr wisst schon... was Kinder halt so machen.\x0E\x04\x00\x00
MID_GR_Lapis_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nDas hört sich gut an. Mein älterer Bruder war\nkaum da, da musste er schon wieder gehen.\nEs war eine einsame Zeit.\x0E\x04\x00\x00
MID_GR_Lapis_A_#004	\x0E\x03\x02\x08\x06ラピス\nNun, solange Ihr hier seid, werde ich dafür\nsorgen, dass Ihr nicht einsam seid. Kommt,\nlasst uns in den Feldern und Hügeln spielen!\x0E\x04\x00\x00
MID_GR_Citrinica_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHallo, Veronica. Ich bin eine Studentin der\nMagie. Ich habe mich gefragt, ob Ihr mich\nwohl unterrichten würdet?\x0E\x04\x00\x00
MID_GR_Citrinica_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIch habe noch nie jemanden unterrichtet. Wenn\ndu dich mit mir unterhalten willst, können wir\ndas eine Weile tun.\x0E\x04\x00\x00
MID_GR_Citrinica_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nIch möchte viel öfter Euer Lächeln sehen.\nWir sollten bald mal wieder zusammen\nplaudern.\x0E\x04\x00\x00
MID_GR_Citrinica_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIch habe... gelächelt? Dann habe ich deine\nGesellschaft wohl wirklich genossen.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nWenn ich kämpfe, dann um mein Heimatland\nzu beschützen. Brodia bedeutet mir alles.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nDu klingst wie eine Königliche. Bist du eine\nKönigin?\x0E\x04\x00\x00
MID_GR_Citrinica_A_#003	\x0E\x03\x02\x0C\nシトリニカ\nNein, das bin ich nicht. Aber ist es nicht für\njeden ein ganz natürlicher Wunsch, das be-\nschützen zu wollen, was ihm am Herzen liegt?\x0E\x04\x00\x00
MID_GR_Citrinica_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nVermutlich. Ich mag mein Volk, also will ich\nes beschützen. Und dich ebenfalls...\x0E\x04\x00\x00
MID_GR_Ivy_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nIch erkenne eine gewisse Wesensverwandtheit\nmit Euch. Aber ich bin nicht sicher, warum.\x0E\x04\x00\x00
MID_GR_Ivy_C_#002	\x0E\x03\x02\x0A\x08アイビー\nSo ergeht es mir auch. Ich hoffe, wir werden\nFreundinnen.\x0E\x04\x00\x00
MID_GR_Ivy_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08アイビー\nIch bin inmitten höfischer Intrigen aufge-\nwachsen. Dies sorgte dafür, dass ich anderen\nnur schwer Vertrauen schenken kann.\x0E\x04\x00\x00
MID_GR_Ivy_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nAuch für mich ist es schwierig, Vertrauen zu\nfassen. Aber die einzige Alternative dazu ist\ndie Einsamkeit.\x0E\x04\x00\x00
MID_GR_Ivy_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nIhr scheint eine gute Prinzessin zu sein. Ich\nweiß nicht... ob ich das ebenfalls war.\x0E\x04\x00\x00
MID_GR_Ivy_A_#002	\x0E\x03\x02\x0A\x08アイビー\nDas kann ich Euch auch nicht sagen. Es ist die\nAufgabe des Volkes, dies zu entscheiden.\x0E\x04\x00\x00
MID_GR_Ivy_A_#003	\x0E\x03\x02\x0A\x08アイビー\nIch persönlich glaube, dass Ihr Eure Untertanen\nebenso sehr wertschätzt, wie ich mein Volk\nwertschätze.\x0E\x04\x00\x00
MID_GR_Ivy_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nDas tue ich. Ich beschütze sie aufs Äußerste.\nAber nun erzählt mir mehr über Eure Zeit bei\nHofe...\x0E\x04\x00\x00
MID_GR_Zelkova_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nFür Euer Alter haltet Ihr große Macht in Händen,\naber... genießt... Ihr Eure Jugend ab und an\nauch einmal?\x0E\x04\x00\x00
MID_GR_Zelkova_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIch bereite mich darauf vor, ein Kaiserreich\nzu regieren. Ich habe keine Zeit für Kinderkram.\x0E\x04\x00\x00
MID_GR_Zelkova_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nMir kam zu Ohren, dass Ihr den... Duft... von\nschwarzem Tee liebt. Wie gefällt Euch dieser?\x0E\x04\x00\x00
MID_GR_Zelkova_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nEr duftet herrlich. Ihr seid ein Mann mit vielen\nTalenten.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nWas seht Ihr, Veronica, wenn Ihr Euer...\ninneres Auge... auf die Zukunft richtet?\x0E\x04\x00\x00
MID_GR_Zelkova_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nAuf die Zukunft? Ich habe schon Probleme, mir\nnur das Morgen vorzustellen. Wie ist es bei\nEuch?\x0E\x04\x00\x00
MID_GR_Zelkova_A_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nIch strebe danach, in meinen Betätigungen...\nvöllig aufzugehen... um genau diese Gedanken\nzu vermeiden.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nDann sollten wir uns darauf konzentrieren, den\nStand der Dinge zu bewahren. Ich bin froh,\nEuch an meiner Seite zu haben.\x0E\x04\x00\x00
MID_GR_Kagetsu_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06カゲツ\nVeronica! Ich kann es kaum erwarten, dass wir\nFreunde werden. Komm, lass uns rausgehen.\x0E\x04\x00\x00
MID_GR_Kagetsu_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nWie meinst du das? Raus wohin?\x0E\x04\x00\x00
MID_GR_Kagetsu_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06カゲツ\nDu bist wirklich beeindruckend, Veronica.\nZeig mir doch noch mal deine Fähigkeit!\x0E\x04\x00\x00
MID_GR_Kagetsu_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nUm deiner Gesundheit willen muss ich das\nablehnen.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nIch beneide dich, Kagetsu. Du besitzt so viel,\nwas mir fehlt.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#002	\x0E\x03\x02\x08\x06カゲツ\nEcht? Was habe ich denn Beneidenswertes?\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nEine fröhliche Art. Ein sorgenfreies Lächeln.\nUnd Freunde, mit denen du beides teilen\nkannst.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#004	\x0E\x03\x02\x08\x06カゲツ\nAber du gehörst doch zu meinen Freunden,\nVeronica. Und da ich gerne teile, gehört dir\nebenfalls beides!\x0E\x04\x00\x00
MID_GR_Hortensia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nDu bist recht still, Veronica. Das stört mich\nnicht. Das gehört zu deinem Charme!\x0E\x04\x00\x00
MID_GR_Hortensia_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nMein Charme? Ich verstehe nicht.\x0E\x04\x00\x00
MID_GR_Hortensia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nIch wünschte, Embleme könnten ihre Kleidung\nwechseln. Ich würde dir so viele verschiedene\nSachen kaufen!\x0E\x04\x00\x00
MID_GR_Hortensia_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nMode interessiert mich nicht. Aber ich würde\nschon gerne wissen, was dir so vorschwebt...\x0E\x04\x00\x00
MID_GR_Hortensia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nIch hatte eine schwere Kindheit am königlichen\nHofe. Wie war deine Kindheit, Veronica?\x0E\x04\x00\x00
MID_GR_Hortensia_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIch hatte einen älteren Bruder, der für mich\nda war. Ich wünschte, ich könnte ihn wieder-\nsehen. Und sei es nur auf eine Tasse Tee...\x0E\x04\x00\x00
MID_GR_Hortensia_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh nein... Ich habe dich traurig gemacht. Das tut\nmir leid. Ich bin zwar kein großer Bruder, aber\nich kann dir zumindest etwas Tee zubereiten!\x0E\x04\x00\x00
MID_GR_Hortensia_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nDas würde mir gefallen. Ja, setzen wir uns bei\neiner Tasse Tee zusammen und du erzählst mir\nnoch mehr über dich.\x0E\x04\x00\x00
MID_GR_Rosado_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ロサード\nEure Kleidung ist so bezaubernd! Sie steht Euch\nwirklich gut. Ich wette, sie war in Eurer Welt\nsehr angesagt.\x0E\x04\x00\x00
MID_GR_Rosado_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nVielleicht. Ich weiß es nicht.\x0E\x04\x00\x00
MID_GR_Rosado_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ロサード\nBeachtet mich nicht, ich bewundere einfach nur\nEuer schönes, seidiges Haar. Habt Ihr mal daran\ngedacht, es noch weiter wachsen zu lassen?\x0E\x04\x00\x00
MID_GR_Rosado_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nFrüher war es länger als jetzt, ja.\x0E\x04\x00\x00
MID_GR_Rosado_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ロサード\nSeht mal, ich habe eine Skizze von Euch ge-\nzeichnet. Ich finde, ich habe Eure Niedlichkeit\nperfekt wiedergegeben!\x0E\x04\x00\x00
MID_GR_Rosado_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nSeltsam. Das ist absolut nicht das, was ich sehe,\nwenn ich mich im Spiegel betrachte.\x0E\x04\x00\x00
MID_GR_Rosado_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nAber wenn du mich auf diese Art siehst...\nbin ich froh.\x0E\x04\x00\x00
MID_GR_Rosado_A_#004	\x0E\x03\x02\x0A\x08ロサード\nOh, diese Reaktion war bildschön. Lasst mich\nsie ganz schnell in einer Skizze für Euch fest-\nhalten!\x0E\x04\x00\x00
MID_GR_Goldmary_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch wünschte, ich hätte Eure kaiserliche\nHaltung, Veronica. Mir steht einfach nur ein\numwerfendes Charisma zur Verfügung.\x0E\x04\x00\x00
MID_GR_Goldmary_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nSicherlich kannst du auch auf dein Selbstbe-\nwusstsein zurückgreifen.\x0E\x04\x00\x00
MID_GR_Goldmary_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs tut mir leid, sollte meine brillante Form der\nKonversation alle anderen Arten von\nGesprächen verblassen lassen.\x0E\x04\x00\x00
MID_GR_Goldmary_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIch weiß nicht, was du damit sagen willst.\nAllerdings unterhalte ich mich gern mit dir.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nEs spielt keine Rolle, was andere über dich\ndenken. Warum beschäftigt dich das so sehr?\x0E\x04\x00\x00
MID_GR_Goldmary_A_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNatürlich spielt das eine Rolle. Mit so einer Ein-\nstellung würde ich niemals beliebt werden.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nWie genau wird man... beliebt? Ist das eine\nFrage des Trainings?\x0E\x04\x00\x00
MID_GR_Goldmary_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSo könnte man es sehen. Charme ist eine\nFähigkeit, die jeder lernen kann. Es wäre mir ein\nVergnügen, sie Euch beizubringen.\x0E\x04\x00\x00
MID_GR_Misutira_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nミスティラ\nVeronica, Ihr wirkt ein wenig niedergeschlagen!\nWisst Ihr, es gibt nichts Besseres, um die Laune\nzu heben, als ein kleines Liedchen...\x0E\x04\x00\x00
MID_GR_Misutira_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIch bin, wie ich immer bin. Beachtet mich\ngar nicht. Aber falls Ihr ein schönes Lied vor-\nbereitet habt, würde ich es gerne hören.\x0E\x04\x00\x00
MID_GR_Misutira_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nミスティラ\nHabt Ihr jemals darüber nachgedacht, solmer\nKleidung auszuprobieren, Veronica? Ich\nbin sicher, sie würde Euch gut stehen!\x0E\x04\x00\x00
MID_GR_Misutira_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nMeint Ihr? Vielleicht werde ich es in Betracht\nziehen...\x0E\x04\x00\x00
MID_GR_Misutira_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nミスティラ\nDort, wo ich herkomme, wird nichts – absolut\ngar nichts – mehr geschätzt als Freiheit.\x0E\x04\x00\x00
MID_GR_Misutira_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nFreiheit? Ich hatte von Anfang an keine Freiheit,\ndaher bin ich nicht sicher, ob ich das Konzept\nverstehe.\x0E\x04\x00\x00
MID_GR_Misutira_A_#003	\x0E\x03\x02\x0C\nミスティラ\nSie kann vieles bedeuten. Zum Beispiel, dass\nIhr wertschätzt, was Euch wirklich wichtig ist.\x0E\x04\x00\x00
MID_GR_Misutira_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nWas mir wichtig ist? Ja. Wie mein Volk...\nMeine Freunde. Das schließt Euch mit ein,\nTimerra.\x0E\x04\x00\x00
MID_GR_Merin_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06メリン\nEs freut mich, dass ich an der Seite von\njemandem kämpfen darf, der so süß ist wie Ihr.\nIch werde Euch mit all meiner Kraft beschützen!\x0E\x04\x00\x00
MID_GR_Merin_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\n...Verstehe. Danke. Und dann erzähl mir bitte\nauch noch Geschichten, und wenn es nur ab\nund zu ist.\x0E\x04\x00\x00
MID_GR_Merin_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06メリン\nIch kann gar nicht genug von seltenen Viechern\nbekommen. Welche Tiere gab es in Eurer\nHeimat?\x0E\x04\x00\x00
MID_GR_Merin_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nTiere? Ich bin nicht sicher, aber ich habe Leute\ngesehen, die hatten Hasenohren auf dem Kopf.\x0E\x04\x00\x00
MID_GR_Merin_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06メリン\nVom Tag meiner Geburt an sollte ich die\nMatriarchin meines Dorfes werden. Nennt es\nso etwas wie Schicksal.\x0E\x04\x00\x00
MID_GR_Merin_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nBei mir war es ebenso. Mein Weg war von\nGeburt an vorgegeben. Ich habe nie viel\ndarüber nachgedacht, aber...\x0E\x04\x00\x00
MID_GR_Merin_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nNachdem ich mit anderen geredet habe, wurde\nmir bewusst... dass das, was ich will...\nIch kann es noch nicht in Worte fassen.\x0E\x04\x00\x00
MID_GR_Merin_A_#004	\x0E\x03\x02\x08\x06メリン\nWenn das so ist, sollten wir uns mehr unter-\nhalten. Wenn Ihr öfter Eure eigenen Worte be-\nnutzt, wird Euch Euer Wunsch vielleicht klarer!\x0E\x04\x00\x00
MID_GR_Panetone_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nPanette, du bist sehr stark. Du wirst eine\nmeiner Heldinnen.\x0E\x04\x00\x00
MID_GR_Panetone_C_#002	\x0E\x03\x02\x0A\x08パネトネ\nEuer Interesse ehrt mich, aber ich muss das\nzunächst einmal mit meiner Chefin besprechen.\x0E\x04\x00\x00
MID_GR_Panetone_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nAuf dem Feld der Schlachten scheint Ihr stets\ngelassen zu bleiben. Schreckt Euch denn gar\nnichts?\x0E\x04\x00\x00
MID_GR_Panetone_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nWas mich schreckt ist, wenn jemand fortgeht,\nund ich nicht weiß, ob wir uns wiedersehen\nwerden. Das ist alles.\x0E\x04\x00\x00
MID_GR_Panetone_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nIhr seid eine kaiserliche Prinzessin, nicht wahr?\nHabt Ihr Euch jemals gewünscht, ein sorgen-\nfreieres Leben führen zu dürfen?\x0E\x04\x00\x00
MID_GR_Panetone_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIch hörte stets eine Stimme, der ich gefolgt bin.\nIch war nicht frei.\x0E\x04\x00\x00
MID_GR_Panetone_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nAber... Es mag seltsam sein. Manchmal, wenn\nwir zusammen sind, denke ich, dass ich mehr\nwie du sein möchte.\x0E\x04\x00\x00
MID_GR_Panetone_A_#004	\x0E\x03\x02\x0A\x08パネトネ\nWenn dies der Fall ist, dann lasst uns Spaß\nhaben! Wir können auf Wölfen reiten und die\nganze Nacht aufbleiben!\x0E\x04\x00\x00
MID_GR_Fogato_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nフォガート\nIch habe mir überlegt, dass wir eine Will-\nkommensparty schmeißen sollten. Bist du\nbereit für ein bisschen Trubel und Rabatz?\x0E\x04\x00\x00
MID_GR_Fogato_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nDu möchtest mich willkommen heißen? Dann...\nja. Ich würde gerne Rabatz machen...\x0E\x04\x00\x00
MID_GR_Fogato_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nDu gibst immer so viele Partys. Warum? Macht\nman das nicht eigentlich nur, wenn etwas\nBesonderes passiert ist?\x0E\x04\x00\x00
MID_GR_Fogato_B_#002	\x0E\x03\x02\x0C\nフォガート\nDie Leute sind glücklicher, wenn sie alle\nzusammen sind. Ich möchte, dass sie glücklich\nsind. Das ist schon alles.\x0E\x04\x00\x00
MID_GR_Fogato_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nフォガート\nIch begann für die Wächter zu kämpfen, um\nmeinem Land zu helfen. Was bedeutete,\ndass ich nicht sehr oft im Schloss war.\x0E\x04\x00\x00
MID_GR_Fogato_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nMein Bruder war genauso.\x0E\x04\x00\x00
MID_GR_Fogato_A_#003	\x0E\x03\x02\x0C\nフォガート\nIch bin sicher, er tat es zum Wohle seines\nLandes. Und vermutlich auch für dich.\x0E\x04\x00\x00
MID_GR_Fogato_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nFür mich? Vielleicht hast du recht. Danke für\ndeine Worte, Fogado.\x0E\x04\x00\x00
MID_GR_Pandoro_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nIch bin neugierig... Du singst und stampfst auf\nganz eigenartige Weise mit den Füßen auf.\nWarum tust du das?\x0E\x04\x00\x00
