MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nIhr seid das Herz dieser Gruppe. Ich werde\nalles tun in meiner Macht Stehende tun, um\nEuch vor Schaden zu bewahren.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x08\x06カミラ\nOh, wirklich? Was für Geschichten sind das\ndenn? Ich würde sie sehr gerne lesen. Ich\nwürde dich dann besser kennenlernen.\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nIch schreibe die Geschichten in meiner Freizeit.\nIch bin nicht sicher, ob sie Euren Geschmack\ntreffen, aber ich kann Euch welche geben .\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nスタルーク\nIch würde Euch ja angemessen begrüßen,\nPrinzessin Camilla, aber ich befürchte, damit\nwürde ich nur Eure Zeit verschwenden.\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x08\x06カミラ\nOh, das nenn ich aber mal interessant. Ihr\nbenehmt Euch hier völlig anders als auf dem\nSchlachtfeld!\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nIch mag Euch, Prinz Alcryst. Ihr könnt ruhig\nöfter meine Hilfe annehmen, wisst Ihr?\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x0C\nスタルーク\nHiiii. Bitte seht mich doch nicht so freundlich\nan! Ich ertrage das nicht! Verzeiht, aber für\nheute muss ich mich verabschieden!\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nIch finde, wir sind uns recht ähnlich. So sind\nwir beide liebenswert, aber gnadenlos auf dem\nSchlachtfeld.\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x0C\nスタルーク\nIch? Euch ähnlich?! Ich habe so einen Vergleich\ndoch gar nicht verdient! Obwohl... wir arbeiten\nauf dem Schlachtfeld wirklich gut zusammen.\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x0C\nスタルーク\nVielleicht, weil wir alles geben, um unsere\nVerbündeten zu verteidigen, und keine Gnade\ngegenüber den Gegnern zeigen.\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x08\x06カミラ\nDas stimmt. Lasst uns weiter gemeinsam dafür\nsorgen, dass unseren Gegnern ihre Strafe\nzuteilwird.\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nLapis, komm doch bitte mal zu mir. Du bist\nstark und recht interessant. Ich möchte mich\nmit dir unterhalten.\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x08\x06ラピス\nSicher. Ihr seid selbst auch recht stark, Camilla.\nIn Eurer Nähe bin ich sogar ein wenig nervös.\x0E\x04\x00\x00
MID_GR_Lapis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06ラピス\nHey, Camilla! Ich habe diesen riesigen Bären\nerlegt. Mögt Ihr Fleisch?\x0E\x04\x00\x00
MID_GR_Lapis_B_#002	\x0E\x03\x02\x08\x06カミラ\nIch mag Fleisch! Ich mag besonders Rindfleisch,\naber Bärenfleisch habe ich noch nie probiert.\nWie schmeckt das?\x0E\x04\x00\x00
MID_GR_Lapis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nDu kennst dich damit aus, nützliche Dinge her-\nzustellen. Könntest du auch etwas herstellen,\ndas unsere Gegner einen Kopf kürzer macht?\x0E\x04\x00\x00
MID_GR_Lapis_A_#002	\x0E\x03\x02\x08\x06ラピス\nKönnte ich wohl, aber das wäre Materialver-\nschwendung. Wir beide sind selbst in der Lage,\njeden, den wir wollen, entsprechend zu kürzen.\x0E\x04\x00\x00
MID_GR_Lapis_A_#003	\x0E\x03\x02\x08\x06カミラ\nWie köstlich! Es ist genau, wie du sagst. Wir\nzwei sind selbst in der Lage, mit den Gegnern\nfertigzuwerden.\x0E\x04\x00\x00
MID_GR_Lapis_A_#004	\x0E\x03\x02\x08\x06ラピス\nAbgesehen davon würde ich – sollte ich etwas\nherstellen – lieber etwas bauen, das Euch\nFreude bereitet.\x0E\x04\x00\x00
MID_GR_Citrinica_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nIch hatte viele Geschwister. Du hast doch auch\nGeschwister, nicht wahr, Citrinne?\x0E\x04\x00\x00
MID_GR_Citrinica_C_#002	\x0E\x03\x02\x0C\nシトリニカ\nIch habe zwei ältere Brüder. Beide sind sehr\nliebenswert und herzlich, fast so wie Ihr es seid,\nCamilla.\x0E\x04\x00\x00
MID_GR_Citrinica_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nIch bin neugierig, was deine älteren Brüder\nangeht. Wenn sie so wie ich sind, könnte ich mir\nvorstellen, dass sie dich sehr verwöhnt haben.\x0E\x04\x00\x00
MID_GR_Citrinica_B_#002	\x0E\x03\x02\x0C\nシトリニカ\nHihihi. Nicht die ganze Zeit über, aber sie haben\nmir oft den Kopf getätschelt oder für mich\nSüßigkeiten gemacht.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nFühlst du dich nicht einsam, da du so weit von\ndeinen Brüdern entfernt bist? Ich vermisse\nmeine manchmal.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#002	\x0E\x03\x02\x0C\nシトリニカ\nIch schreibe ihnen Briefe. Dadurch fühle ich\nmich weniger einsam. Natürlich merkt man, dass\nsie fehlen.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#003	\x0E\x03\x02\x0C\nシトリニカ\nWisst Ihr was? Ich könnte Bronzestatuen von\nEuren Brüdern herstellen lassen! Vielleicht\nhilft Euch das ja.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#004	\x0E\x03\x02\x08\x06カミラ\nHahaha. Ich danke dir. Allein dass du mir helfen\nmöchtest, tut mir schon gut. Es ist seltsam,\nmal diejenige zu sein, die verwöhnt wird.\x0E\x04\x00\x00
MID_GR_Ivy_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0A\x08アイビー\nIhr seid ebenfalls eine Prinzessin, nicht wahr?\nIch bin sicher, ich werde eine Menge von Euch\nlernen können.\x0E\x04\x00\x00
MID_GR_Ivy_C_#002	\x0E\x03\x02\x08\x06カミラ\nDas haben wir in der Tat gemeinsam. Ich freue\nmich schon darauf, auch von Euch zu lernen.\x0E\x04\x00\x00
MID_GR_Ivy_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nVon Kindesbeinen an erlebte ich politische\nMachtkämpfe. Ich hasse es, wenn eine Familie\ngegeneinander angeht.\x0E\x04\x00\x00
MID_GR_Ivy_B_#002	\x0E\x03\x02\x0A\x08アイビー\nBei Hofe ist es grausam. Sie lächeln und\nschmeicheln Euch hier – und hinter Eurem\nRücken tun sie die furchtbarsten Dinge.\x0E\x04\x00\x00
MID_GR_Ivy_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nWie ich hörte, sollt Ihr Euch vor Geistern\nfürchten, Ivy. Ob Ihr es glaubt oder nicht, so\nergeht es mir in Ansammlungen.\x0E\x04\x00\x00
MID_GR_Ivy_A_#002	\x0E\x03\x02\x0A\x08アイビー\nDas ist in der Tat eine Überraschung. Wie es\nscheint, lerne ich stets etwas Neues über\nEuch, Camilla.\x0E\x04\x00\x00
MID_GR_Ivy_A_#003	\x0E\x03\x02\x08\x06カミラ\nSagt, warum besuchen wir beide nicht mal ein\nOnsen? Dort ist es ruhig und es gibt dort\nauch keine Geister.\x0E\x04\x00\x00
MID_GR_Ivy_A_#004	\x0E\x03\x02\x0A\x08アイビー\nEine heiße Quelle? Diese Idee wäre mir nicht\neingefallen, aber ein bisschen Entspannung hat\nnoch niemandem geschadet.\x0E\x04\x00\x00
MID_GR_Zelkova_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nDu magst es, zu nähen, nicht wahr, Zelkov?\nIch liebe es, zu sticken.\x0E\x04\x00\x00
MID_GR_Zelkova_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nJa... komplexe... Betätigungen erfreuen mich.\nJede Art von Handarbeit, die Zeit und Hingabe\nverlangt, ist für mich wertvoll.\x0E\x04\x00\x00
MID_GR_Zelkova_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nIch bin stets auf der Suche nach... Motivation.\nWas motiviert dich am meisten, Camilla?\x0E\x04\x00\x00
MID_GR_Zelkova_B_#002	\x0E\x03\x02\x08\x06カミラ\nNatürlich Corrin zu umsorgen. Und jeden zu\ntöten, der es wagt, ihr auch nur ein Haar zu\nkrümmen.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nDer Gedanke... zu versagen... erfüllt mich mit\nSchrecken. Kennst du ähnliche Ängste?\x0E\x04\x00\x00
MID_GR_Zelkova_A_#002	\x0E\x03\x02\x08\x06カミラ\nFurcht findet dich nur, wenn du allein bist.\nDeshalb ist die Gesellschaft anderer so wichtig.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#003	\x0E\x03\x02\x08\x06カミラ\nUnsere Freunde beschützen uns, leiten uns an,\nwenn wir unseren Pfad verloren haben. Ich\nfreue mich, das für dich zu tun, Zelkov.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nDeine Ansichten dazu... faszinieren... mich.\nVielen Dank, dass du sie mit mir geteilt hast –\nund für deine netten Worte.\x0E\x04\x00\x00
MID_GR_Kagetsu_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カゲツ\nIch möchte, dass wir gute Freunde werden,\nCamilla. Wirst du mit mir ausgehen?\x0E\x04\x00\x00
MID_GR_Kagetsu_C_#002	\x0E\x03\x02\x08\x06カミラ\nOh du meine Güte, ist das etwa ein\nRendezvous? Wie interessant. Was hast du\ndenn für uns geplant?\x0E\x04\x00\x00
MID_GR_Kagetsu_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nDeine Kleidung erinnert mich sehr an die\nKleidung, die ich in einem Land namens\nHoshido gesehen habe.\x0E\x04\x00\x00
MID_GR_Kagetsu_B_#002	\x0E\x03\x02\x08\x06カゲツ\nFaszinierend. Bedeutet das, ich würde dort\ngar nicht auffallen, wenn wir dorthin reisten?\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カゲツ\nDiese Welt ist so groß und es gibt so viel zu\nsehen. Ich fühle das Verlangen, alles davon\nzu erleben.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#002	\x0E\x03\x02\x08\x06カゲツ\nIch möchte auch mehr über deine Welt erfahren,\nCamilla. Wirst du mir etwas darüber erzählen?\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#003	\x0E\x03\x02\x08\x06カミラ\nIch werde dir mit Freuden mehr über Nohr,\nHoshido und meine Familie erzählen.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#004	\x0E\x03\x02\x08\x06カミラ\nAber ich möchte nicht die Einzige sein, die\nredet. Du musst mir ebenfalls alles über dein\nLeben erzählen.\x0E\x04\x00\x00
MID_GR_Hortensia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nMeine kleine Schwester war dir sehr ähnlich,\nHortensia. Sie trug sogar ihre Haare auf\nähnliche Weise.\x0E\x04\x00\x00
MID_GR_Hortensia_C_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nKlingt, als sei sie modebewusst gewesen. Ich\nwette, sie war genauso niedlich und bezaubernd\nwie ich es bin.\x0E\x04\x00\x00
MID_GR_Hortensia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nMeine Heimat Nohr hat nur selten die Sonne\ngesehen. Es war in etwa so wie Euer\nverschneites Elusia.\x0E\x04\x00\x00
MID_GR_Hortensia_B_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nKlingt, als hätte ich mich da wie zu Hause\ngefühlt! Ich würde es mir gerne eines Tages\nmal ansehen.\x0E\x04\x00\x00
MID_GR_Hortensia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nEs muss doch ein Geheimnis geben, wie du es\nschaffst, so charmant zu sein, Camilla. Willst\ndu mir nicht ein paar Tipps geben?\x0E\x04\x00\x00
MID_GR_Hortensia_A_#002	\x0E\x03\x02\x08\x06カミラ\nDa gibt es nichts Besonders, wirklich. Ich passe\ngut auf mich auf und pflege mich, was wohl\ndazu führt, dass ich mehr Selbstvertrauen habe.\x0E\x04\x00\x00
MID_GR_Hortensia_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas ergibt Sinn. Was tust du dabei genau?\x0E\x04\x00\x00
MID_GR_Hortensia_A_#004	\x0E\x03\x02\x08\x06カミラ\nNun, ich finde zum Beispiel ein nettes, ent-\nspannendes Bad sehr hilfreich, wenn ich\nmeine Gedanken sortieren will.\x0E\x04\x00\x00
MID_GR_Rosado_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0A\x08ロサード\nEs freut mich, Euch kennenzulernen, Camilla.\nIch bin glücklich, Euer neuester und niedlichster\nFreund zu sein.\x0E\x04\x00\x00
MID_GR_Rosado_C_#002	\x0E\x03\x02\x08\x06カミラ\nIch bewundere dein Selbstbewusstsein, Rosado.\nIn meiner Welt hättest du einer meiner Getreuen\nsein können.\x0E\x04\x00\x00
MID_GR_Rosado_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nIch dachte, ich hätte dich eben meinen Namen\nrufen gehört, Rosado. Kann ich dir irgendwie\nhelfen?\x0E\x04\x00\x00
MID_GR_Rosado_B_#002	\x0E\x03\x02\x0A\x08ロサード\nOh, nein. Ich habe mit meiner Wyvern geredet!\nSie heißt Camille.\x0E\x04\x00\x00
MID_GR_Rosado_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0A\x08ロサード\nVielen Dank, dass Ihr mir den Gefallen getan\nhabt, Camilla. Die Zeichnung ist wirklich\nwunderbar geworden!\x0E\x04\x00\x00
MID_GR_Rosado_A_#002	\x0E\x03\x02\x08\x06カミラ\nGerne, Rosado. Darf ich mal sehen? Oh, du hast\nuns ja beide, Seite an Seite, gezeichnet!\x0E\x04\x00\x00
MID_GR_Rosado_A_#003	\x0E\x03\x02\x0A\x08ロサード\nZwei Niedlichkeiten auf einem Spaziergang.\nWas sagt Ihr dazu?\x0E\x04\x00\x00
MID_GR_Rosado_A_#004	\x0E\x03\x02\x08\x06カミラ\nIch liebe es! Du hast eine wunderschöne\nErinnerung eingefangen.\x0E\x04\x00\x00
MID_GR_Goldmary_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs tut mir leid, sollte Euch meine überragende\nLeistung in der Schlacht schockiert haben,\nCamilla. Ich tat mein Bestes, Euch vorzuwarnen.\x0E\x04\x00\x00
MID_GR_Goldmary_C_#002	\x0E\x03\x02\x08\x06カミラ\nOh, das macht doch gar nichts. Du besitzt sehr\nviel Selbstbewusstsein. Das bewundere ich.\x0E\x04\x00\x00
MID_GR_Goldmary_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nWir sollten irgendwann einmal mein Dorf\nbesuchen. Dort gibt es die schönsten heißen\nQuellen von ganz Elusia!\x0E\x04\x00\x00
MID_GR_Goldmary_B_#002	\x0E\x03\x02\x08\x06カミラ\nDas klingt ganz wundervoll. Ich liebe es, ins\nheiße Wasser einzutauchen.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nMir tun unsere Gegner in den Schlachten echt\nleid. Sie sind viel zu gebannt von unserer\nEleganz, um sich überhaupt zu wehren.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#002	\x0E\x03\x02\x08\x06カミラ\nFühl dich niemals schlecht, weil du jeden\nerdenklichen Vorteil im Kampf nutzt, um deine\nGegner zu besiegen, Goldmary.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch nehme an, Ihr habt recht. Wenigstens haben\nsie noch etwas Wunderschönes gesehen, bevor\nsie gestorben sind.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#004	\x0E\x03\x02\x08\x06カミラ\nGanz genau. Deshalb geben wir beide so ein\nbrillantes Team ab.\x0E\x04\x00\x00
MID_GR_Misutira_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nPrinzessin Timerra, ich wünsche mir, dass wir\nFreundinnen werden. In der anderen Welt be-\nfand sich mein Armring in der Obhut von Solm.\x0E\x04\x00\x00
MID_GR_Misutira_C_#002	\x0E\x03\x02\x0C\nミスティラ\nEcht? Na dann, dann lass uns dicke\nFreundinnen sein! Ich will alles über dich\nwissen, Camilla.\x0E\x04\x00\x00
MID_GR_Misutira_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nDu bist so fröhlich. Du kochst am Lagerfeuer,\ndu singst... Du bist ganz anders als die Timerra,\ndie ich kannte.\x0E\x04\x00\x00
MID_GR_Misutira_B_#002	\x0E\x03\x02\x0C\nミスティラ\nEs tut mir leid, wenn ich dich damit schockiere.\nUnd ich hoffe, du wirst diese Version von mir\nebenfalls mögen.\x0E\x04\x00\x00
MID_GR_Misutira_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nDu bist talentiert darin, neue Lieder zu erfinden,\noder? Könntest du nicht ein Lied schreiben,\ndass unsere Freundschaft feiert?\x0E\x04\x00\x00
MID_GR_Misutira_A_#002	\x0E\x03\x02\x0C\nミスティラ\nJAAA! Deine Frage macht mich so glücklich!\nAn was für ein Lied hattest du gedacht?\x0E\x04\x00\x00
MID_GR_Misutira_A_#003	\x0E\x03\x02\x08\x06カミラ\nWenn es so fröhlich wird wie deine anderen\nLieder, gefällt es mir ganz sicher. Sobald der\nKrieg gewonnen ist, singen wir es gemeinsam.\x0E\x04\x00\x00
MID_GR_Misutira_A_#004	\x0E\x03\x02\x0C\nミスティラ\nPrima! Ich mache mich sofort an die Arbeit...\nUnsere Freundschaft wird über das Schlacht-\nfeld schallen!\x0E\x04\x00\x00
MID_GR_Merin_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06メリン\nDürfte ich mir Euren Wyvern wohl mal aus der\nNähe ansehen? Es ist eine seltene Gelegenheit,\neinen aus einer anderen Welt zu untersuchen!\x0E\x04\x00\x00
MID_GR_Merin_C_#002	\x0E\x03\x02\x08\x06カミラ\nSehr gerne. Aber pass auf deine Finger auf.\nSie kann manchmal ein bisschen launisch\nsein.\x0E\x04\x00\x00
MID_GR_Merin_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nDein Mittagessen besteht aus Süßem. Hahaha.\nWie schön! Ich liebe süße Dinge! Aber ich\ngenieße auch gerne ein gutes Stück Fleisch.\x0E\x04\x00\x00
MID_GR_Merin_B_#002	\x0E\x03\x02\x08\x06メリン\nWirklich? Ich liebe ebenfalls beides! Ich würde\nzu gerne irgendwann die Süßigkeiten Eures\nLandes probieren.\x0E\x04\x00\x00
MID_GR_Merin_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06メリン\nIch habe zwei ältere Brüder, die sich ständig\num mich sorgen – obwohl ich ja schon\nerwachsen bin.\x0E\x04\x00\x00
MID_GR_Merin_A_#002	\x0E\x03\x02\x08\x06カミラ\nOooh, das ist einfach das, was Geschwister tun.\nEine niedliche kleine Schwester wird immer\nin den Gedanken der Geschwister sein.\x0E\x04\x00\x00
MID_GR_Merin_A_#003	\x0E\x03\x02\x08\x06カミラ\nManchmal wirst du es schwer haben, aber dein\nBand, das dich mit ihnen verbindet, hat\nBestand, wo immer ihr auch seid.\x0E\x04\x00\x00
MID_GR_Merin_A_#004	\x0E\x03\x02\x08\x06メリン\nJa, ich fühle mich mit meinen Brüdern und\nFreunden verbunden. Und mit Euch, die so\nfreundlich ist und an meiner Seite kämpft.\x0E\x04\x00\x00
MID_GR_Panetone_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nIhr zeigt hier ein Herz voller Güte und seid auf\ndem Schlachtfeld gar gnadenlos. Zu sehen, wie\nIhr Eure Gegner niedermäht, ist staunenswert.\x0E\x04\x00\x00
MID_GR_Panetone_C_#002	\x0E\x03\x02\x08\x06カミラ\nIn der Hinsicht scheinen wir beide uns recht\nähnlich zu sein.\x0E\x04\x00\x00
MID_GR_Panetone_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nAls ich noch klein war, spielte ich manchmal\nan recht gefährlichen Orten. Irgendwie habe ich\ndas Gefühl, dass du das auch getan hast.\x0E\x04\x00\x00
MID_GR_Panetone_B_#002	\x0E\x03\x02\x0A\x08パネトネ\nIch liebe Geister und gruselige Orte sehr! Lasst\nuns bald mal gemeinsam auf Entdeckungsreise\ngehen.\x0E\x04\x00\x00
MID_GR_Panetone_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nDerweil Ihr und ich ganz unterschiedlich\nerscheinen, so habe ich doch das Gefühl,\ndass wir etwas gemeinsam haben.\x0E\x04\x00\x00
MID_GR_Panetone_A_#002	\x0E\x03\x02\x08\x06カミラ\nLustig. Genau das habe ich auch gedacht. Lass\nuns Freundinnen bleiben, jetzt und immer.\x0E\x04\x00\x00
MID_GR_Panetone_A_#003	\x0E\x03\x02\x0A\x08パネトネ\nIn der Tat! Wenn es Euch nicht stört, würde ich\nEuch gerne „große Schwester“ nennen. Wie\nwürdet Ihr Euch dazu äußern?\x0E\x04\x00\x00
MID_GR_Panetone_A_#004	\x0E\x03\x02\x08\x06カミラ\nGroße Schwester? Aber nur, wenn wir beide\nunter uns sind, einverstanden? Das ist dann\nunser Geheimnis.\x0E\x04\x00\x00
MID_GR_Fogato_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nDu bist jemand, der schnell sein Herz für andere\nöffnet. Ich habe das Gefühl, dich schon ewig\nzu kennen.\x0E\x04\x00\x00
MID_GR_Fogato_C_#002	\x0E\x03\x02\x0C\nフォガート\nHahaha. Danke, Camilla! Ich mag es einfach,\nLeute kennenzulernen. Ganz besonders dich.\x0E\x04\x00\x00
MID_GR_Fogato_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nフォガート\nWie gerne würde ich deine Geschwister\nkennenlernen. Ob wir uns wohl verstehen\nwürden?\x0E\x04\x00\x00
MID_GR_Fogato_B_#002	\x0E\x03\x02\x08\x06カミラ\nIch bin sicher, du würdest dich mit allen\nverstehen. Besonders mit meiner jüngsten\nSchwester.\x0E\x04\x00\x00
MID_GR_Fogato_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nフォガート\nHey, Camilla, nachher schmeiße ich eine Party.\nBist du dabei?\x0E\x04\x00\x00
